G847,北京|石家庄|郑州|西安|成都|重庆|贵阳|昆明,06:00|07:24|09:27|11:42|15:19|16:33|18:16|21:27|21:42|01:03|02:46|04:29|07:46|08:43|10:08|11:32,0;235;220;205;190;175;160;145|235;0;220;205;190;175;160;145|220;220;0;205;190;175;160;145|205;205;205;0;190;175;160;145|190;190;190;190;0;175;160;145|175;175;175;175;175;0;160;145|160;160;160;160;160;160;0;145|145;145;145;145;145;145;145;0,0;140;346;571;900;1023;1195;1514|140;0;206;431;760;883;1055;1374|346;206;0;225;554;677;849;1168|571;431;225;0;329;452;624;943|900;760;554;329;0;123;295;614|1023;883;677;452;123;0;172;491|1195;1055;849;624;295;172;0;319|1514;1374;1168;943;614;491;319;0
G123,北京|济南|南京|上海,06:00|08:02|11:52|13:52|15:15|17:17|21:07|23:07,0;180;160;139|180;0;160;140|160;160;0;140|140;140;140;0,0;203;493;643|203;0;290;440|493;290;0;150|643;440;150;0
D293,兰州|西安|郑州|济南|北京|石家庄|太原,08:00|10:50|13:05|15:08|17:10|18:34|19:31|21:00|22:50|01:05|03:08|05:10|06:34|07:31,0;200;180;160;140;120;100|200;0;180;160;140;120;100|180;180;0;160;139;120;100|160;160;160;0;140;120;100|140;140;140;140;0;120;100|120;120;120;120;120;0;100|100;100;100;100;100;100;0,0;284;509;713;916;1057;1152|284;0;225;429;632;773;868|509;225;0;204;407;548;643|713;429;204;0;203;344;439|916;632;407;203;0;141;236|1057;773;548;344;141;0;95|1152;868;643;439;236;95;0
G516,上海|南京|合肥|武汉|重庆|成都|西安|兰州,09:00|10:30|11:17|13:22|17:35|18:48|22:17|01:07|02:37|04:07|04:54|07:59|12:12|13:25|16:54|19:44,0;200;185;170;155;140;125;110|200;0;185;170;155;140;125;110|185;185;0;170;155;140;125;110|170;170;170;0;155;140;125;110|155;155;155;155;0;140;125;110|140;140;140;140;140;0;125;110|125;125;125;125;125;125;0;110|110;110;110;110;110;110;110;0,0;150;228;403;825;1072;1730;2298|150;0;78;253;675;922;1580;2148|228;78;0;175;597;844;1502;2070|403;253;175;0;422;669;1327;1895|825;675;597;422;0;247;905;1473|1072;922;844;669;247;0;658;1226|1730;1580;1502;1327;905;658;0;568|2298;2148;2070;1895;1473;1226;568;0
D794,广州|长沙|武汉|郑州|石家庄|北京|济南|南京,08:00|11:07|12:47|15:00|17:03|18:27|20:29|23:23|01:08|04:15|05:55|08:08|10:11|11:35|13:37|16:31,0;200;185;170;155;140;125;110|200;0;185;170;155;140;125;110|185;185;0;170;155;140;125;110|170;170;170;0;155;139;125;110|155;155;155;155;0;140;125;110|140;140;140;140;140;0;125;110|125;125;125;125;125;125;0;110|110;110;110;110;110;110;110;0,0;353;519;596;802;943;1146;1436|353;0;166;243;449;590;793;1083|519;166;0;188;397;424;627;917|596;243;188;0;206;347;547;837|802;449;397;206;0;140;343;633|943;590;424;347;140;0;203;493|1146;793;627;547;343;203;0;290|1436;1083;917;837;633;493;290;0
G135,福州|南昌|长沙|重庆|成都|昆明|贵阳|广州,14:00|16:38|18:20|22:02|23:16|05:22|08:34|12:09|17:54|20:32|22:14|01:56|03:10|09:16|12:28|16:03,0;180;165;150;135;120;105;90|180;0;165;150;135;120;105;90|165;165;0;150;135;120;105;90|150;150;150;0;135;120;105;90|135;135;135;135;0;120;105;90|120;120;120;120;120;0;105;90|105;105;105;105;105;105;0;90|90;90;90;90;90;90;90;0,0;273;443;813;1060;1629;2057;2485|273;0;170;540;787;1356;1784;2212|443;170;0;370;617;1186;1614;2042|813;540;370;0;247;816;1244;1672|1060;787;617;247;0;569;997;1425|1629;1356;1186;816;569;0;428;856|2057;1784;1614;1244;997;428;0;428|2485;2212;2042;1672;1425;856;428;0
K285,昆明|贵阳|重庆|武汉|郑州|济南|石家庄|北京,06:00|09:32|11:16|15:31|17:44|19:46|21:27|22:51|00:36|04:08|05:52|10:07|12:20|14:22|16:03|17:27,0;150;140;130;120;110;100;90|150;0;140;130;120;110;100;90|140;140;0;130;120;110;100;90|130;130;130;0;120;110;100;90|120;120;120;120;0;110;100;90|110;110;110;110;110;0;100;90|100;100;100;100;100;100;0;90|90;90;90;90;90;90;90;0,0;319;492;915;1104;1307;1448;1589|319;0;172;595;784;995;1136;1277|492;172;0;422;611;814;955;1096|915;595;422;0;188;391;532;673|1104;784;611;188;0;203;344;485|1307;995;814;391;203;0;140;281|1448;1136;955;532;344;140;0;141|1589;1277;1096;673;485;281;141;0
T168,广州|长沙|武汉|郑州|石家庄|北京,13:00|16:07|17:47|20:00|22:03|23:27|15:12|18:19|19:59|22:12|00:15|01:39,0;150;140;130;120;110|150;0;140;130;120;110|140;140;0;130;120;110|130;130;130;0;120;110|120;120;120;120;0;110|110;110;110;110;110;0,0;353;519;596;802;943|353;0;166;243;449;590|519;166;0;188;397;424|596;243;188;0;206;347|802;449;397;206;0;140|943;590;424;347;140;0
D567,上海|南京|合肥|武汉|长沙|贵阳|昆明|南宁,16:00|17:30|18:17|20:22|21:21|01:41|05:33|08:48|18:15|19:45|20:32|22:37|23:36|03:56|07:48|11:03,0;180;170;160;150;140;130;120|180;0;170;160;150;140;130;120|170;170;0;160;150;140;130;120|160;160;160;0;150;140;130;120|150;150;150;150;0;140;130;120|140;140;140;140;140;0;130;120|130;130;130;130;130;130;0;120|120;120;120;120;120;120;120;0,0;150;228;403;573;973;1292;1647|150;0;78;253;423;823;1142;1497|228;78;0;175;345;745;1064;1419|403;253;175;0;170;570;889;1244|573;423;345;170;0;400;719;1074|973;823;745;570;400;0;319;674|1292;1142;1064;889;719;319;0;355|1647;1497;1419;1244;1074;674;355;0
Z99,福州|杭州|南京|济南|北京|石家庄|太原|西安,21:00|23:48|01:16|04:06|06:08|07:32|08:29|11:18|13:33|16:21|17:49|20:39|22:41|00:05|01:02|03:51,0;170;160;150;140;130;120;110|170;0;160;150;139;130;120;110|160;160;0;150;140;130;120;110|150;150;150;0;140;130;120;110|140;140;140;140;0;130;120;110|130;130;130;130;130;0;120;110|120;120;120;120;120;120;0;110|110;110;110;110;110;110;110;0,0;280;408;698;901;1042;1137;1422|280;0;128;418;621;762;857;1142|408;128;0;290;493;634;729;1014|698;418;290;0;203;344;439;724|901;621;493;203;0;140;235;520|1042;762;634;344;140;0;95;380|1137;857;729;439;235;95;0;285|1422;1142;1014;724;520;380;285;0
G788,成都|重庆|长沙|南昌|杭州|南京|合肥|济南,11:00|12:14|16:26|18:28|23:45|01:13|02:36|07:30|13:15|14:29|18:41|20:43|01:00|02:28|03:51|08:45,0;180;170;160;150;140;130;120|180;0;170;160;150;140;130;120|170;170;0;160;150;140;130;120|160;160;160;0;150;140;130;120|150;150;150;150;0;140;130;120|140;140;140;140;140;0;130;120|130;130;130;130;130;130;0;120|120;120;120;120;120;120;120;0,0;123;493;663;898;1056;1095;1392|123;0;370;540;775;933;972;1269|493;370;0;170;405;563;602;899|663;540;170;0;235;393;432;729|898;775;405;235;0;157;196;493|1056;933;563;393;157;0;39;336|1095;972;602;432;196;39;0;297|1392;1269;899;729;493;336;297;0
D635,太原|西安|武汉|长沙|南昌|福州|杭州|上海,12:00|17:46|01:13|03:13|05:15|08:54|11:33|12:34|14:19|19:05|02:32|04:32|06:34|10:13|12:52|13:53,0;170;160;150;140;130;120;110|170;0;160;150;140;130;120;110|160;160;0;150;140;130;120;110|150;150;150;0;140;130;120;110|140;140;140;140;0;130;120;110|130;130;130;130;130;0;120;110|120;120;120;120;120;120;0;110|110;110;110;110;110;110;110;0,0;285;619;789;959;1232;1372;1473|285;0;394;564;734;1007;1147;1248|619;394;0;170;340;613;753;854|789;564;170;0;170;443;583;684|959;734;340;170;0;273;413;514|1232;1007;613;443;273;0;140;241|1372;1147;753;583;413;140;0;101|1473;1248;854;684;514;241;101;0
K556,兰州|西安|重庆|昆明|贵阳|南宁|广州|福州,16:00|21:46|04:01|10:01|13:01|16:33|20:03|02:53|18:15|23:01|05:16|11:16|14:16|17:48|21:18|04:08,0;160;150;140;130;120;110;100|160;0;150;140;130;120;110;100|150;150;0;140;130;120;110;100|140;140;140;0;130;120;110;100|130;130;130;130;0;120;110;100|120;120;120;120;120;0;110;100|110;110;110;110;110;110;0;100|100;100;100;100;100;100;100;0,0;284;591;1160;1479;1834;2109;2534|284;0;307;876;1195;1550;1825;2250|591;307;0;569;888;1243;1518;1943|1160;876;569;0;319;674;949;1374|1479;1195;888;319;0;355;630;1055|1834;1550;1243;674;355;0;275;700|2109;1825;1518;849;530;275;0;425|2534;2250;1943;1274;955;700;425;0
G466,南宁|贵阳|重庆|成都|西安|郑州|合肥|南京,08:00|10:25|12:09|13:23|17:52|20:05|23:00|00:17|10:32|12:57|14:41|15:55|20:24|22:37|01:32|02:49,0;160;150;140;130;120;110;100|160;0;150;140;130;120;110;100|150;150;0;140;130;120;110;100|140;140;140;0;130;120;110;100|130;130;130;130;0;120;110;100|120;120;120;120;120;0;110;100|110;110;110;110;110;110;0;100|100;100;100;100;100;100;100;0,0;241;413;536;865;1090;1358;1437|241;0;172;295;624;849;1117;1196|413;172;0;123;452;677;945;1024|536;295;123;0;329;554;822;901|865;624;452;329;0;225;493;572|1090;849;677;554;225;0;268;347|1358;1117;945;822;493;268;0;78|1437;1196;1024;901;572;347;78;0
T267,杭州|南昌|武汉|西安|兰州|成都|重庆|长沙,23:00|01:21|04:26|11:15|17:00|21:37|22:51|02:21|01:15|03:36|06:41|13:30|19:15|23:52|01:06|04:36,0;150;140;130;120;110;100;90|150;0;140;130;120;110;100;90|140;140;0;130;120;110;100;90|130;130;130;0;120;110;100;90|120;120;120;120;0;110;100;90|110;110;110;110;110;0;100;90|100;100;100;100;100;100;0;90|90;90;90;90;90;90;90;0,0;235;410;739;1023;1352;1475;1815|235;0;175;504;788;1117;1240;1580|410;175;0;329;613;942;1065;1405|739;504;329;0;284;613;736;1076|1023;788;613;284;0;329;452;792|1352;1117;942;613;329;0;123;463|1475;1240;1065;736;452;123;0;340|1815;1580;1405;1076;792;463;340;0
Z356,石家庄|太原|西安|成都|昆明|南宁|广州|南昌,19:00|20:34|00:03|03:32|09:32|12:47|16:17|19:35|21:20|22:54|02:23|05:52|11:52|15:07|18:37|21:55,0;150;140;130;120;110;100;90|150;0;140;130;120;110;100;90|140;140;0;130;120;110;100;90|130;130;130;0;120;110;100;90|120;120;120;120;0;110;100;90|110;110;110;110;110;0;100;90|100;100;100;100;100;100;0;90|90;90;90;90;90;90;90;0,0;95;380;709;1278;1633;1908;2298|95;0;285;614;1183;1538;1813;2203|380;285;0;329;898;1253;1528;1918|709;614;329;0;569;924;1199;1589|1278;1183;898;569;0;355;630;1020|1633;1538;1253;924;355;0;275;665|1908;1813;1528;1199;630;275;0;390|2298;2203;1918;1589;1020;665;390;0
D801,北京|石家庄|太原|西安|武汉|南昌|福州,05:00|06:25|07:31|10:22|13:36|15:21|18:08|20:15|21:40|22:46|01:37|04:51|06:36|09:23,0;160;150;140;130;120;110|160;0;150;140;130;120;110|150;150;0;140;130;120;110|140;140;140;0;130;120;110|130;130;130;130;0;120;110|120;120;120;120;120;0;110|110;110;110;110;110;110;0,0;140;235;520;849;1024;1297|140;0;95;380;709;884;1157|235;95;0;285;614;789;1062|520;380;285;0;329;504;777|849;709;614;329;0;175;448|1024;884;789;504;175;0;273|1297;1157;1062;777;448;273;0
